fluid_temp,air_umidity,dm3_gas
19.1575,92.6,0.0
14.62,94.5,0.0
19.06,95.2,0.0
22.0,93.6,0.0
14.88,95.2,0.0
14.94,93.6,0.0
15.094999999999999,93.95,0.0
19.666666666666668,97.16666666666667,0.0
16.78,97.7,0.0
16.939999999999998,95.6,0.0
22.63,97.6,0.0
22.5625,91.85,0.0
21.5,97.7,0.0
18.97,93.5,0.0
18.31,97.3,0.0
15.5,96.4,0.0
23.345,95.2,0.0
23.565,95.3,0.0
19.793333333333333,97.23333333333333,0.0
22.16,95.3,0.0
17.375,99.5,0.0
22.41,99.9,0.0
17.81,90.9,0.0
18.468333333333334,97.96666666666665,0.0016666666666666668
18.838,97.12,0.0
22.2475,91.7,0.0
22.935000000000002,97.4,0.0
19.560000000000002,91.8,0.0
19.506666666666664,91.5,0.0
16.935,96.4,0.0
18.22,98.3,0.0
17.28,98.8,0.0
20.074,97.14,0.0
23.189999999999998,99.9,0.0
22.560000000000002,97.4,0.0
15.88,96.6,0.0
22.439999999999998,91.2,0.0
20.6275,94.4,0.0
21.655,94.8,0.005
22.94,94.4,0.0
15.19,92.6,0.0
22.5,93.76666666666667,0.0
20.25,97.6,0.0
15.12,92.8,0.0
14.38,92.2,0.0
22.595,89.4,0.0
22.0,95.5,0.0
21.655,94.8,0.005
-52.94,89.1,0.0
22.5,91.0,0.0
22.564999999999998,89.7,0.0
20.22,93.9,0.0
22.86,94.4,0.0
16.75,90.9,0.0
20.155,95.6,0.0
22.28,95.7,0.0
-53.0,87.1,0.0
18.9525,98.15,0.0025
20.060000000000002,95.7,0.0
21.97,96.3,0.0
16.75,92.3,0.0
19.38,91.6,0.0
15.94,93.4,0.0
20.633333333333333,97.7,0.0016666666666666668
22.97,93.6,0.0
22.69,97.8,0.0
20.655,99.0,0.0
23.314999999999998,92.6,0.0
22.595,92.8,0.0
20.715,97.4,0.0
23.815,97.8,0.0
21.85,98.0,0.0
23.155,95.1,0.0
23.7,94.75,0.0
23.25,90.9,0.0
16.845,97.0,0.0
23.875,97.3,0.0
15.0,84.8,0.0
15.31,86.9,0.0
22.62,98.4,0.0
23.12,98.3,0.0
-52.845,90.9,0.0
21.134999999999998,90.2,0.0
18.69,94.7,0.0
20.345,95.8,0.0
19.59,92.2,0.0
-52.845,88.1,0.0
21.418333333333333,92.13333333333333,0.0
23.189999999999998,95.4,0.0
14.88,87.5,0.0
15.12,87.6,0.0
22.565,99.9,0.0
16.935,97.2,0.0
22.095,95.7,0.0
23.810000000000002,97.3,0.0
22.5,96.2,0.0
20.564999999999998,89.0,0.0
19.655,95.6,0.005
21.689999999999998,98.4,0.0
23.435,90.9,0.0
19.345,96.5,0.0
23.060000000000002,93.8,0.0
22.41,99.4,0.005
22.41,98.3,0.0
20.895000000000003,99.9,0.0
14.88,94.2,0.0
21.94,99.1,0.0
21.82,98.9,0.0
15.44,96.2,0.0
23.405,96.9,0.0
21.955000000000002,94.06666666666666,0.0
21.75,91.66666666666667,0.0
15.56,94.8,0.0
21.215,96.4,0.005
15.62,95.9,0.0
15.62,93.3,0.0
22.095,95.7,0.0
-52.72,87.2,0.0
-52.69,95.0,0.0
21.645,94.55,0.0025
16.815,98.9,0.0
20.375,87.5,0.0
23.405,92.0,0.0
23.375,92.4,0.0
18.41,98.0,0.0
21.04,95.3,0.005
23.3425,96.65,0.0
20.924999999999997,97.0,0.0
22.459999999999997,94.06666666666668,0.0
24.03,96.5,0.0
23.905,97.0,0.0
21.7825,93.44999999999999,0.0
17.38,93.1,0.0
23.22,96.6,0.0
17.185,94.7,0.0
19.0,97.0,0.0
-15.14,93.94999999999999,0.0
17.185,94.7,0.005
23.845,98.8,0.0
22.345,93.6,0.0
14.62,91.0,0.0
17.81,90.0,0.0
23.375,91.5,0.0
21.8125,95.65,0.0
20.655,99.1,0.005
20.80333333333333,96.41666666666667,0.0
23.405,91.4,0.0
23.314999999999998,91.3,0.0
22.345,93.7,0.0
22.41,89.8,0.0
14.12,96.8,0.0
20.19,94.4,0.0
21.94,97.1,0.0
22.5,95.3,0.0
16.94,94.5,0.0
19.53,92.0,0.0
17.31,95.2,0.0
18.28,94.8,0.0
22.47,95.3,0.0
22.875,93.3,0.0
15.75,86.7,0.0
24.0,98.3,0.0
20.603333333333335,90.83333333333333,0.0
20.72,91.5,0.0
19.697499999999998,83.35,0.0
19.19,91.5,0.0
16.0,95.1,0.0
15.0,97.15,0.0
15.31,90.0,0.0
21.87,99.9,0.0
16.75,93.7,0.0
21.22,94.3,0.0
